56.988, -60.793, 95.215
55.002, -61.033, 95.814
53.011, -61.218, 96.604
51.016, -61.361, 96.862
49.019, -61.46, 97.203
47.02, -61.525, 97.308
45.02, -61.555, 97.423
43.02, -61.55, 97.44
41.021, -61.515, 97.435
39.022, -61.447, 97.36
37.024, -61.344, 97.29
35.029, -61.208, 97.2
33.036, -61.039, 97.087
31.047, -60.834, 96.785
29.062, -60.586, 96.592
27.083, -60.299, 96.367
25.111, -59.968, 96.104
23.146, -59.593, 95.443
21.194, -59.158, 95.032
19.255, -58.668, 94.554
17.333, -58.118, 93.999
15.434, -57.491, 92.607
13.564, -56.782, 91.737
11.73, -55.985, 89.561
9.951, -55.072, 87.898
8.237, -54.043, 84.961
6.623, -52.864, 82.009
5.141, -51.523, 78.854
3.831, -50.015, 76.01
5.493, -49.622, 100
7.476, -49.366, 100
9.46, -49.11, 100
11.443, -48.854, 100
13.427, -48.598, 100
15.41, -48.342, 100
17.394, -48.087, 100
19.378, -47.831, 100
21.361, -47.575, 100
22.748, -46.424, 100
23.746, -44.691, 100
24.745, -42.958, 100
25.743, -41.225, 100
26.741, -39.492, 100
27.74, -37.759, 100
28.738, -36.026, 100
29.736, -34.293, 100
30.735, -32.56, 100
31.733, -30.827, 100
32.731, -29.094, 100
33.73, -27.361, 100
34.728, -25.628, 100
35.727, -23.895, 100
36.725, -22.162, 100
37.723, -20.429, 100
38.722, -18.696, 100
39.72, -16.963, 100
40.718, -15.23, 100
41.717, -13.497, 100
42.715, -11.764, 100
43.713, -10.031, 100
44.712, -8.298, 100
45.71, -6.565, 100
46.709, -4.832, 100
47.559, -4.385, 100
48.136, -6.3, 100
48.714, -8.215, 100
49.291, -10.129, 100
49.868, -12.044, 100
50.446, -13.959, 100
51.023, -15.874, 100
51.601, -17.789, 100
52.178, -19.704, 100
52.756, -21.618, 100
53.333, -23.533, 100
53.911, -25.448, 100
54.488, -27.363, 98.113
55.066, -29.278, 95.49
55.643, -31.192, 92.791
56.221, -33.107, 90.013
56.798, -35.022, 87.145
57.376, -36.937, 84.18
57.953, -38.852, 81.106
58.531, -40.766, 77.912
59.108, -42.681, 74.581
59.686, -44.596, 71.093
60.263, -46.511, 67.426
60.841, -48.426, 63.547
61.418, -50.341, 59.416
61.995, -52.255, 54.975
62.573, -54.17, 50.142
63.15, -56.085, 44.791
63.728, -58, 38.707
64.305, -59.915, 31.468
64.883, -61.829, 21.96
65.431, -63.647, 0
65.431, -63.647, 0
71.206, -82.795, 0
endData
127
100
200
56.988, -60.793, 43.193, -62.696, 12.273, -61.745, 3.71, -49.852
3.71, -49.852, 12.927, -48.663, 12.927, -48.663, 22.143, -47.474
22.143, -47.474, 34.749, -25.592, 34.749, -25.592, 47.355, -3.71
47.355, -3.71, 56.393, -33.679, 56.393, -33.679, 65.431, -63.647
